序號,行政區,單位性質,服務單位,地址,電話,服務項目,服務情形
1,八德區,混合型,旭登護理之家附設日間照顧中心,桃園市八德區大強里002鄰樹仁三街601號3樓,03-3672921,日間照顧,服務中
2,八德區,混合型,桃園市私立佳緣社區長照機構,桃園市八德區茄明里001鄰中華路92號1至2樓,03-3780678,日間照顧,服務中
3,八德區,混合型,國軍退除役官兵輔導委員會桃園榮譽國民之家附設悅來社區長照機構,桃園市八德區大信里035鄰興豐路1217號1樓,03-3681140#370、371,日間照顧,服務中
4,八德區,混合型,桃園市私立健安綜合長照機構,桃園市八德區竹園里017鄰長興路469號1至3樓,03-3682798,日間照顧 居家服務,服務中
5,八德區,混合型,社團法人愛福家協會附設桃園市私立八德大湳社區長照機構,桃園市八德區廣隆里022鄰廣福路218號2樓,03-3663611,小規模多機能,服務中
6,八德區,混合型,財團法人雙福社會福利慈善事業基金會附設桃園市私立八德麻園社區長照機構,桃園市八德區大順里002鄰介壽路二段361巷26號1樓,03-361-6339,日間照顧,服務中
7,大園區,混合型,愛爾德長者事業股份有限公司附設桃園市私立喜大人晨寶社區長照機構,桃園市大園區橫峰里010鄰中正東路97之2號3樓,03-3861130,日間照顧,服務中
8,大園區,混合型,智浩企業有限公司附設桃園市私立青埔綜合長照機構,桃園市大園區青峰里003鄰中山南路二段663號2樓,03-3868700#7321,日間照顧 居家服務,服務中
9,大園區,混合型,萊恩全齡健康事業有限公司附設桃園市私立青埔萊恩社區長照機構,桃園市大園區五權里011鄰中興路二段367號2樓,03-3810367,日間照顧,服務中
10,大園區,混合型,愛爾德長者事業股份有限公司附設桃園市私立喜大人大園社區長照機構,桃園市大園區橫峰里011鄰中正東路97之2號4樓,03-3860138,日間照顧,尚未特約
11,大園區,混合型,社團法人台灣德安社會福利協會附設桃園市私立大園五權社區長照機構,桃園市大園區五權里013鄰五青路70巷371號1樓,03-3814449,小規模多機能,服務中
12,大溪區,混合型,財團法人雙福社會福利慈善事業基金會附設桃園市私立大溪崎頂社區長照機構,桃園市大溪區仁武里001鄰公園路30號1樓,03-3805695,日間照顧,服務中
13,大溪區,混合型,桃園市私立開心社區長照機構,桃園市大溪區一德里007鄰文化路247號1至4樓,03-3880808,日間照顧,服務中
14,大溪區,混合型,旭登長照社團法人附設桃園市私立仁善綜合長照機構,桃園市大溪區仁善里017鄰仁善街268號1至4樓,03-2737777,日間照顧 機構住宿,服務中
15,中壢區,混合型,天成醫療社團法人附設桃園市私立新街社區長照機構,桃園市中壢區新街里006鄰延平路219號1至3樓,03-4620085,日間照顧,服務中
16,中壢區,混合型,社團法人桃園市愛鄰舍協會附設桃園市私立幸福社區式服務類長期照顧服務機構,桃園市中壢區石頭里013鄰復興路161號3樓,03-4266770,日間照顧,服務中
17,中壢區,混合型,財團法人桃園市私立怡德老人長期照顧中心（養護型）附設桃園市私立中壢新明社區長照機構,桃園市中壢區舊明里008鄰明德路60號3樓,03-4910826,小規模多機能,服務中
18,中壢區,混合型,愛爾德長者事業股份有限公司附設桃園市私立喜大人琪霖社區長照機構,桃園市中壢區青埔里001鄰高鐵北路二段1號1樓,03-2873266,日間照顧,服務中
19,中壢區,混合型,懷寧護理之家附設日間照顧中心,桃園市中壢區月眉里016鄰崇德三路250號1樓,03-4988225,日間照顧,服務中
20,中壢區,混合型,金色年代長照社團法人附設桃園市私立金色年華綜合長照機構,桃園市中壢區普義里002鄰立和路58巷66號1樓、68號1至4樓、70號1樓,03-4623626,日間照顧 居家服務 機構住宿,服務中
21,中壢區,混合型,桃園市私立富立水社區長照機構,桃園市中壢區興南里006鄰延平路326號3樓、326之1號3樓,03-4258084,日間照顧,服務中
22,中壢區,混合型,桃園市私立喜來樂社區長照機構,桃園市中壢區至善里021鄰後寮一路161號3樓,03-4163938,日間照顧,服務中
23,中壢區,混合型,桃園市私立真開欣社區長照機構,桃園市中壢區普義里004鄰普義路171號1樓,03-4352525,日間照顧,服務中
24,中壢區,混合型,桃園市私立鈺?社區長照機構,桃園市中壢區自強里020鄰榮民路128號6樓,03-4350707,日間照顧,服務中
25,中壢區,混合型,峰旺實業有限公司附設桃園市私立慈愛社區長照機構,桃園市中壢區幸福里002鄰延平路98號1樓,03-4515443,日間照顧,服務中
26,中壢區,混合型,社團法人桃園市失能老人關懷協會附設桃園市私立中壢龍福社區長照機構,桃園市中壢區龍昌里015鄰中山東路四段26號5樓,"03-4663199
03-4662567",小規模多機能,服務中
27,中壢區,混合型,桃園市私立大利家成功社區長照機構,桃園市中壢區內壢里021鄰成功路146號2樓,03-4553320,日間照顧,服務中
28,中壢區,混合型,天成醫療社團法人附設桃園市私立中壢大崙社區長照機構,桃園市中壢區月眉里015鄰月眉路一段250號2樓,03-4080056,小規模多機能,服務中
29,中壢區,混合型,東安股份有限公司附設桃園市私立陽光社區長照機構,桃園市中壢區東興里002鄰中北路二段211號4樓,03-4581200,日間照顧,服務中
30,中壢區,混合型,桃園市私立晁誼社區長照機構,桃園市中壢區普強里019鄰國泰街9號1樓、11號1樓,03-4667399,日間照顧,服務中
31,中壢區,混合型,好日和健康股份有限公司附設桃園市私立永福社區長照機構,桃園市中壢區自信里002鄰永福路981巷21號1至2樓,03-4510720,日間照顧,尚未特約
32,平鎮區,混合型,桃園市泓樂身心關懷協會附設桃園市私立梧桐樹社區式服務類長期照顧服務機構,桃園市平鎮區南勢里005鄰南東路2號4樓,03-4395853,日間照顧,服務中
33,平鎮區,混合型,財團法人桃園市私立國宏老人長期照顧中心（養護型）附設桃園市私立國宏綜合式服務類長期照顧服務機構,桃園市平鎮區新富里035鄰環南路二段265號2樓之5,03-4598838,日間照顧 居家服務,服務中
34,平鎮區,混合型,泓樂樂齡事業有限公司附設桃園市私立鳳凰居社區長照機構,桃園市平鎮區南勢里005鄰南東路2號4樓之1,03-4395830,小規模多機能,服務中
35,平鎮區,混合型,桃園市私立天恩社區長照機構,桃園市平鎮區廣達里002鄰環南路35巷33號2樓,03-2810662,日間照顧,服務中
36,平鎮區,混合型,財團法人聯新文教基金會附設桃園市私立好棒社區長照機構,桃園市平鎮區新富里001鄰振興路1號3樓,"0933-727302
03-4582880",日間照顧,服務中
37,平鎮區,混合型,芯之初股份有限公司附設桃園市私立對茗社區長照機構,桃園市平鎮區北華里001鄰環南路三段121號5樓,03-4688360,日間照顧,服務中
38,桃園區,混合型,財團法人天主教德來會附設桃園市私立德來綜合長照機構,桃園市桃園區三民里014鄰三民路一段2號2樓,03-3317226#13,日間照顧 居家服務,服務中
39,桃園區,失智型,臺北榮民總醫院桃園分院附設桃園市彩虹居社區式服務類長期照顧服務機構,桃園市桃園區三元里008鄰成功路三段100號4樓,03-3384889#5311、5312,日間照顧,服務中
40,桃園區,混合型,衛生福利部桃園醫院附設桃園市桃樂居社區長照機構,桃園市桃園區龍山里008鄰中山路1492號3樓,03-3699721#1351,日間照顧,服務中
41,桃園區,混合型,財團法人桃園市私立怡德老人長期照顧中心（養護型）附設桃園市私立怡德綜合長照機構,桃園市桃園區西門里005鄰和興街17號2至3樓,03-3373488#16、17,日間照顧 居家服務,服務中
42,桃園區,混合型,廣元長照社團法人附設桃園市私立元德綜合長照機構,桃園市桃園區泰山里003鄰潮洲街78號1樓,03-3322049,日間照顧 機構住宿,服務中
43,桃園區,混合型,桃園市私立茂庭社區長照機構,桃園市桃園區莊敬里011鄰中正路1224巷1-1號2樓,03-3571210#15,日間照顧,服務中
44,桃園區,混合型,桃園市私立愛自己社區長照機構,桃園市桃園區光興里021鄰中山北路83號2樓,03-3351231,日間照顧,服務中
45,桃園區,混合型,智浩企業有限公司附設桃園市私立瑞欣綜合長照機構,桃園市桃園區龍鳳里023鄰龍鳳三街65巷38號1樓,03-3696882,日間照顧 居家服務,服務中
46,桃園區,混合型,桃園市私立長青社區長照機構,桃園市桃園區南華里008鄰鎮南街58-3號1樓,03-3390513,小規模多機能,尚未特約
47,桃園區,混合型,職物語長照事業有限公司附設桃園市私立樂職心綜合長照機構,桃園市桃園區春日里002鄰春日路1038號3至4樓,03-3575608,小規模多機能 居家服務,服務中
48,桃園區,混合型,敬一銀齡事業股份有限公司附設桃園市私立寶加社區長照機構,桃園市桃園區光興里021鄰縣府路110號3樓,03-3336388,日間照顧,服務中
49,桃園區,混合型,愛爾德長者事業股份有限公司附設桃園市私立喜大人東門社區長照機構,桃園市桃園區東山里014鄰安東街17號2樓,03-3344062,日間照顧,服務中
50,桃園區,混合型,敬一銀齡事業股份有限公司附設桃園市私立寶平綜合長照機構,桃園市桃園區寶安里024鄰南平路598號1樓,03-3017188,日間照顧 居家服務,服務中
51,桃園區,混合型,臻鋐有限公司附設桃園市私立歲月靜好社區長照機構,桃園市桃園區中平里027鄰中山路599號4樓,03-2289279,日間照顧,尚未特約
52,桃園區,混合型,桃園市私立好馨情社區長照機構,桃園市桃園區同安里009鄰同安街431號1樓,03-3461136,日間照顧,服務中
53,桃園區,混合型,桃園市私立大利家社區長照機構,桃園市桃園區福林里029鄰陽明十二街15號1樓、17號1樓,03-3663320,日間照顧,服務中
54,桃園區,混合型,康新健康管理顧問有限公司附設桃園市私立康新社區長照機構,桃園市桃園區中聖里012鄰國際路一段1169號3樓、4樓之1,03-3700838,日間照顧,服務中
55,桃園區,混合型,桃園銀髮方舟股份有限公司附設桃園市私立大有社區長照機構,桃園市桃園區大有里007鄰民有十街322號1至3樓,03-3580000,日間照顧,服務中
56,桃園區,混合型,德瑞長照股份有限公司附設桃園市私立德瑞南華社區長照機構,桃園市桃園區南華里007鄰南華街66號3樓,03-3355360,日間照顧,服務中
57,桃園區,混合型,客卿苑股份有限公司附設桃園市私立松之苑社區長照機構,桃園市桃園區自強里025鄰經國路286號4樓,03-3150918,日間照顧,服務中
58,桃園區,混合型,桃園市私立明心全都好社區長照機構,桃園市桃園區中山里007鄰宏昌十二街501、503號1樓,03-2207070,日間照顧,服務中
59,桃園區,混合型,敬一健康事業股份有限公司附設桃園市私立寶可社區長照機構,桃園市桃園區福安里006鄰延平路28之8號3樓,03-3618788,日間照顧,服務中
60,桃園區,混合型,合群健康股份有限公司附設桃園市私立經國館社區長照機構,桃園市桃園區汴洲里034鄰水岸二街211號2至7樓,03-3151606,日間照顧 團體家屋,尚未特約
61,新屋區,混合型,桃園市私立龍德社區長照機構,桃園市新屋區新屋里010鄰中華路214號1至2樓,03-4773888,日間照顧,服務中
62,新屋區,混合型,財團法人錸德文教基金會附設桃園市私立新屋頭洲社區長照機構,桃園市新屋區頭洲里009鄰福洲一街40號1樓,03-4900928,日間照顧,服務中
63,楊梅區,混合型,社團法人中華民國紅十字會桃園市分會附設桃園市私立福喜緣社區長照機構,桃園市楊梅區楊梅里005鄰大模街10號2樓,03-4855785#18、19,小規模多機能,服務中
64,楊梅區,混合型,桃園市私立惜老社區長照機構,桃園市楊梅區瑞坪里035鄰瑞溪路二段156號2樓,03-4817779,日間照顧,服務中
65,楊梅區,混合型,金色年代長照社團法人附設桃園市私立天成綜合長照機構,桃園市楊梅區中山里017鄰中山北路一段362號2至3樓,"03-4789566
03-4789533",日間照顧 居家服務,服務中
66,楊梅區,混合型,社團法人桃園市失能老人關懷協會附設桃園市私立楊梅富岡社區長照機構,桃園市楊梅區富岡里013鄰中正路138號1至3樓,03-4724666,日間照顧 團體家屋,服務中
67,楊梅區,混合型,典恩齡有限公司附設桃園市私立驊齡社區長照機構,桃園市楊梅區裕新里007鄰裕成南路313、315號1樓,03-4822608,日間照顧,服務中
68,楊梅區,混合型,宸茂長照股份有限公司附設桃園市私立宸康社區長照機構,桃園市楊梅區楊江里011鄰新農街6號3樓之1,03-4855666,小規模多機能,服務中
69,龍潭區,混合型,金色年代長照社團法人附設桃園市私立天慈綜合長照機構,桃園市龍潭區中山里010鄰北龍路311巷35弄20號1樓,03-4802022,日間照顧 居家服務,服務中
70,龍潭區,混合型,國軍桃園總醫院附設民眾診療服務處附設陶然園社區長照機構,桃園市龍潭區中山里010鄰中興路670之1號2樓,03-4095664#19、03-4095485,日間照顧,服務中
71,龍潭區,混合型,拾全拾美樂齡事業有限公司附設桃園市私立潛龍綜合長照機構,桃園市龍潭區烏樹林里006鄰中豐路640之2號1樓,03-4990906#11,日間照顧 居家服務,服務中
72,龍潭區,混合型,安安長者關懷有限公司附設桃園市私立安佳社區長照機構,桃園市龍潭區八德里024鄰梅龍路196號1樓,03-4800403,日間照顧,服務中
73,龜山區,混合型,錸工場股份有限公司附設桃園市私立錸工場社區長照機構,桃園市龜山區文化里019鄰華亞二路222號1樓,03-3280728#7501,日間照顧,服務中
74,龜山區,混合型,社團法人桃園市社會服務關懷協會附設桃園市私立愈安社區式服務類長期照顧服務機構,桃園市龜山區新路里011鄰陸光路55號1至3樓,03-3498002,日間照顧,服務中
75,龜山區,混合型,衛生福利部樂生療養院附設樂福社區長照機構,桃園市龜山區迴龍里035鄰萬壽路一段50巷2號1樓,(02)8200-6600#3121,日間照顧,服務中
76,龜山區,混合型,社團法人中華民國士林靈糧堂社會福利協會附設桃園市私立龜山陸光社區長照機構,桃園市龜山區陸光里029鄰自強西路240號1樓,03-2132050,小規模多機能,服務中
77,龜山區,失智型,臺北榮民總醫院桃園分院附設桃喜居社區長照機構,桃園市龜山區新興里018鄰自強南路103號4樓,03-3299645、03-3384889,日間照顧,服務中
78,龜山區,混合型,青松達觀股份有限公司附設桃園市私立長壽綜合長照機構,桃園市龜山區龜山里038鄰長壽路247號1樓,03-3295350,日間照顧 居家服務,服務中
79,蘆竹區,混合型,財團法人錸德文教基金會附設桃園市私立蘆竹錸工場社區長照機構,桃園市蘆竹區錦中里002鄰錦溪路125號3樓,03-3520152,小規模多機能,服務中
80,蘆竹區,混合型,桃園市私立家淇社區長照機構,桃園市蘆竹區南崁里018鄰忠孝東路20號2樓,03-3116641,日間照顧,服務中
81,蘆竹區,混合型,愛爾德長者事業股份有限公司附設桃園市私立喜大人冠怡社區長照機構,桃園市蘆竹區山腳里020鄰海山路14號2樓,03-3242068,日間照顧,服務中
82,蘆竹區,混合型,社團法人中華民國士林靈糧堂社會福利協會附設桃園市私立蘆竹興仁社區長照機構,桃園市蘆竹區中興里014鄰興仁路330號4樓,03-3230656,小規模多機能,服務中
83,蘆竹區,混合型,白金會股份有限公司附設桃園市私立神態飛揚社區長照機構,桃園市蘆竹區新莊里012鄰大新路814巷155號1樓,03-3133519,日間照顧,服務中
84,蘆竹區,混合型,桃園市私立紫園社區長照機構,桃園市蘆竹區南崁里013鄰中正路90號4樓,03-3522820,日間照顧,服務中
85,觀音區,混合型,財團法人中保關懷社會福利基金會附設桃園市私立觀音石橋社區長照機構,桃園市觀音區新興里007鄰文化路石橋段453號1樓,03-4777157,日間照顧,服務中
86,觀音區,混合型,財團法人中保關懷社會福利基金會附設桃園市私立觀音草漯社區長照機構,桃園市觀音區草漯里016鄰莊敬路186號3樓,03-4160219,小規模多機能,服務中
備註：,,,,,,,
1、混合型服務對象為失能、失智者，失智型服務對象為失智症者。,,,,,,,
2、機構住宿服務資訊，請洽桃園市政府衛生局諮詢。,,,,,,,
